requests_per_minute,failed_requests,unique_urls,avg_response_size,method_get,method_post,is_night
5,0,2,967,1,0,1
1,1,3,1062,1,0,1
6,0,4,417,1,0,1
1,0,3,1470,1,0,1
5,1,4,1037,1,1,1
1,0,4,1049,1,0,1
1,0,4,472,1,0,1
5,0,1,1147,1,0,1
6,0,4,1069,1,0,1
1,0,3,543,1,1,1
2,0,5,424,1,0,1
2,0,5,1426,1,0,1
1,0,5,1142,1,0,1
2,0,5,1491,1,0,1
3,0,4,429,1,0,1
3,0,5,1000,1,0,1
2,0,1,628,1,0,1
6,0,4,667,1,0,1
2,1,5,1316,1,0,1
5,0,1,1480,1,0,1
4,0,2,1165,1,0,1
3,0,4,467,1,0,1
1,0,2,713,1,0,1
4,0,3,938,1,0,1
5,1,5,1185,1,1,1
3,0,3,1480,1,0,1
2,0,5,854,1,0,1
4,0,1,1351,1,0,1
4,1,2,1311,1,0,1
5,0,2,1484,1,0,1
1,0,3,411,1,1,1
3,0,1,459,1,1,1
4,0,4,599,1,0,1
3,0,3,939,1,0,1
5,0,4,908,1,0,1
5,1,2,876,1,0,1
2,0,5,1253,1,1,1
4,0,2,1135,1,0,1
2,0,2,1486,1,0,1
1,0,1,1243,1,0,1
1,0,2,1401,1,0,1
2,1,4,909,1,1,1
6,0,4,1043,1,0,1
3,0,2,712,1,0,1
2,0,2,1188,1,0,1
6,1,2,1193,1,0,1
2,0,3,1213,1,0,1
5,0,4,1207,1,0,1
1,1,5,826,1,0,1
5,0,4,1280,1,0,1
4,0,3,401,1,0,1
2,0,5,1287,1,0,1
6,0,4,842,1,0,1
4,0,3,553,1,0,1
5,0,5,601,1,0,1
6,0,1,755,1,0,1
6,0,1,733,1,0,1
3,1,3,561,1,0,1
5,0,4,1089,1,0,1
1,0,1,1138,1,0,1
6,1,2,583,1,0,1
6,0,2,668,1,1,1
2,0,3,655,1,0,1
4,0,5,487,1,0,1
2,0,2,1308,1,1,1
6,0,3,1377,1,0,1
3,0,3,512,1,0,1
4,0,4,1301,1,0,1
2,0,1,637,1,0,1
6,0,5,758,1,0,1
3,0,1,627,1,0,1
2,0,4,1112,1,0,1
2,0,4,1313,1,0,1
2,0,1,417,1,0,1
1,0,2,1303,1,0,1
1,0,2,1496,1,0,1
1,0,1,1205,1,0,1
5,0,1,1330,1,0,1
4,1,5,1012,1,0,1
4,0,3,1316,1,0,1
2,0,2,1197,1,0,1
1,0,3,740,1,0,1
5,0,3,1122,1,0,1
6,0,3,1422,1,0,1
4,0,1,1212,1,1,1
3,1,5,738,1,0,1
6,0,5,1191,1,0,1
2,1,4,1355,1,0,1
5,0,2,874,1,0,1
6,0,4,1340,1,0,1
3,0,2,1402,1,0,1
3,0,4,451,1,0,1
5,0,2,1480,1,0,1
3,1,5,843,1,0,1
4,0,2,937,1,0,1
6,0,1,975,1,0,1
1,0,5,865,1,1,1
1,1,3,1267,1,0,1
4,0,5,1247,1,0,1
5,0,3,1188,1,0,1
3,0,2,653,1,0,1
6,0,3,1269,1,0,1
2,0,3,1245,1,0,1
3,0,1,903,1,0,1
2,0,2,1230,1,0,1
4,0,1,451,1,0,1
6,1,3,425,1,0,1
6,0,1,1184,1,0,1
3,0,3,1470,1,0,1
4,1,5,1390,1,0,1
5,0,1,777,1,1,1
4,0,1,1069,1,0,1
1,0,4,1145,1,0,1
4,0,1,966,1,0,1
3,0,4,1430,1,0,1
4,0,3,1244,1,0,1
2,0,5,1279,1,0,1
4,0,1,494,1,0,1
6,0,1,671,1,0,1
3,0,1,811,1,0,1
3,0,1,928,1,0,1
5,0,1,1470,1,0,1
3,0,4,1419,1,0,1
2,0,2,686,1,0,1
5,0,3,1487,1,0,1
2,0,3,1375,1,0,1
2,0,1,1167,1,0,1
3,0,5,485,1,0,1
5,0,2,1077,1,0,1
4,1,5,1107,1,0,1
1,0,4,1099,1,1,1
3,0,1,970,1,0,1
3,0,5,1395,1,0,1
6,0,5,927,1,0,1
2,0,5,410,1,0,1
3,0,1,1055,1,0,1
4,0,1,763,1,0,1
2,0,4,735,1,0,1
1,0,5,542,1,0,1
5,1,1,1219,1,0,1
4,0,3,1427,1,0,1
2,0,4,1161,1,0,1
6,0,2,657,1,0,1
2,0,2,1364,1,1,1
3,1,2,1062,1,0,1
5,0,2,1330,1,0,1
6,0,2,873,1,0,1
4,0,1,945,1,0,1
3,1,5,611,1,0,1
5,0,1,1011,1,0,1
3,0,5,1150,1,0,1
6,0,3,1466,1,0,1
4,0,5,808,1,0,1
2,0,1,975,1,1,1
4,1,2,858,1,0,1
1,1,2,945,1,0,1
6,0,3,558,1,0,1
3,0,4,1013,1,0,1
6,0,1,613,1,1,1
2,0,5,707,1,0,1
1,0,1,980,1,0,1
6,0,5,622,1,0,1
2,0,3,1146,1,0,1
3,0,4,1413,1,0,1
6,0,5,666,1,0,1
4,0,1,663,1,0,1
3,1,2,1352,1,0,1
4,0,5,1064,1,0,1
5,0,2,749,1,0,1
2,0,5,906,1,0,1
5,0,2,1492,1,0,1
5,0,4,932,1,0,1
4,0,5,586,1,1,1
6,0,1,1051,1,0,1
1,0,3,1377,1,0,1
2,0,2,559,1,0,1
1,0,1,656,1,0,1
3,0,4,628,1,0,1
3,0,4,820,1,0,1
5,1,3,1110,1,0,1
6,0,5,1377,1,0,1
3,0,1,501,1,0,1
2,0,2,713,1,0,1
4,0,3,1184,1,0,1
2,0,1,562,1,0,1
4,0,4,1144,1,1,1
4,0,3,1203,1,0,1
2,0,5,1316,1,0,1
1,0,3,480,1,1,1
4,0,2,1211,1,1,1
1,0,4,1273,1,0,1
1,0,1,795,1,0,1
5,1,2,1143,1,0,1
2,0,3,1222,1,1,1
3,1,2,492,1,0,1
5,1,2,1309,1,1,1
6,0,1,1171,1,0,1
5,0,5,1080,1,0,1
2,0,1,586,1,0,1
6,1,5,1408,1,0,1
3,0,1,497,1,0,1
3,0,2,1486,1,0,1
4,0,2,1159,1,0,1
3,0,4,694,1,0,1
1,0,3,1026,1,0,1
2,0,4,778,1,0,1
6,0,3,1089,1,0,1
5,0,5,1192,1,0,1
4,0,1,476,1,0,1
5,0,4,1430,1,0,1
3,0,3,1122,1,0,1
3,0,5,1413,1,0,1
6,0,5,689,1,0,1
2,0,1,939,1,1,1
5,0,1,896,1,1,1
5,0,1,622,1,0,1
5,1,1,1465,1,0,1
1,0,2,600,1,0,1
4,0,4,652,1,0,1
3,0,1,910,1,0,1
6,0,1,1213,1,0,1
2,0,5,549,1,0,1
6,0,3,812,1,0,1
1,0,5,1322,1,0,1
5,0,2,776,1,0,1
5,0,4,1041,1,0,1
3,0,5,891,1,0,1
4,0,5,569,1,0,1
6,0,5,626,1,0,1
3,0,2,1111,1,0,1
1,0,5,947,1,0,1
1,0,1,861,1,0,1
3,0,2,1334,1,0,1
5,0,2,455,1,0,1
4,0,3,756,1,0,1
2,1,5,1473,1,0,1
2,0,2,439,1,0,1
5,0,3,1279,1,0,1
1,0,5,1085,1,0,1
4,0,2,985,1,0,1
3,0,3,1175,1,0,1
2,0,5,609,1,0,1
5,0,2,875,1,0,1
1,0,1,1377,1,0,1
1,0,5,731,1,0,1
5,0,4,766,1,1,1
6,0,2,1087,1,0,1
5,0,4,1304,1,0,1
3,0,4,1308,1,0,1
4,0,2,1140,1,1,1
3,0,5,726,1,0,1
6,1,4,943,1,0,1
5,0,5,1185,1,0,1
2,0,5,639,1,0,1
5,0,5,1282,1,0,1
3,0,1,712,1,0,1
6,0,4,1238,1,0,1
3,0,5,759,1,0,1
2,1,4,856,1,0,1
6,0,4,1364,1,0,1
6,0,4,612,1,0,1
3,0,1,652,1,0,1
4,0,4,608,1,0,1
1,0,3,1279,1,0,1
3,0,2,1055,1,0,1
4,0,5,1376,1,0,1
1,0,1,657,1,0,1
1,0,4,737,1,0,1
3,0,1,1217,1,0,1
5,0,1,408,1,0,1
2,0,1,1480,1,0,1
3,0,3,473,1,0,1
4,0,1,607,1,0,1
2,0,2,1378,1,0,1
3,0,2,691,1,0,1
4,0,1,880,1,1,1
4,0,1,785,1,0,1
1,0,5,1109,1,0,1
6,0,4,534,1,0,1
2,0,4,1415,1,0,1
1,0,5,722,1,0,1
6,0,1,713,1,0,1
4,0,3,1419,1,1,1
4,0,2,1477,1,1,1
3,1,3,1135,1,0,1
4,1,1,956,1,0,1
2,0,5,938,1,0,1
6,0,1,1225,1,0,1
1,0,1,516,1,0,1
1,0,3,712,1,0,1
2,0,1,740,1,0,1
5,0,1,1001,1,0,1
6,0,5,1127,1,0,1
6,0,3,619,1,0,1
2,0,5,968,1,0,1
3,0,1,1247,1,0,1
3,0,2,730,1,0,1
2,0,1,905,1,0,1
2,0,3,1051,1,0,1
2,0,4,1494,1,0,1
1,0,5,1372,1,1,1
4,0,2,945,1,0,1
1,0,3,1412,1,0,1
1,0,3,1182,1,0,1
