requests_per_minute,failed_requests,unique_urls,avg_response_size,method_get,method_post,is_night
100,0.0,7,2739.25,20.0,24.0,False
300,0.0,7,2592.53,75.0,75.0,False
100,0.0,7,2762.27,14.0,33.0,False
100,0.0,7,2693.92,26.0,19.0,False
100,0.0,7,2657.19,26.0,28.0,False
100,0.0,7,2543.85,21.0,24.0,False
100,0.0,7,2535.17,28.0,24.0,False
100,0.0,7,2698.86,33.0,22.0,False
100,0.0,7,2691.41,24.0,23.0,False
100,0.0,7,2538.62,26.0,22.0,False
100,0.0,7,2739.25,20.0,24.0,False
100,0.0,7,2762.27,14.0,33.0,False
100,0.0,7,2693.92,26.0,19.0,False
100,0.0,7,2657.19,26.0,28.0,False
100,0.0,7,2543.85,21.0,24.0,False
100,0.0,7,2535.17,28.0,24.0,False
100,0.0,7,2698.86,33.0,22.0,False
100,0.0,7,2691.41,24.0,23.0,False
100,0.0,7,2538.62,26.0,22.0,False
100,0.0,7,2739.25,20.0,24.0,False
100,0.0,7,2762.27,14.0,33.0,False
100,0.0,7,2693.92,26.0,19.0,False
100,0.0,7,2657.19,26.0,28.0,False
100,0.0,7,2543.85,21.0,24.0,False
100,0.0,7,2535.17,28.0,24.0,False
100,0.0,7,2698.86,33.0,22.0,False
100,0.0,7,2691.41,24.0,23.0,False
100,0.0,7,2538.62,26.0,22.0,False
100,0.0,7,2739.25,20.0,24.0,False
100,0.0,7,2762.27,14.0,33.0,False
100,0.0,7,2693.92,26.0,19.0,False
100,0.0,7,2657.19,26.0,28.0,False
100,0.0,7,2543.85,21.0,24.0,False
100,0.0,7,2535.17,28.0,24.0,False
100,0.0,7,2698.86,33.0,22.0,False
100,0.0,7,2691.41,24.0,23.0,False
100,0.0,7,2538.62,26.0,22.0,False
100,0.0,7,2739.25,20.0,24.0,False
100,0.0,7,2762.27,14.0,33.0,False
100,0.0,7,2693.92,26.0,19.0,False
100,0.0,7,2657.19,26.0,28.0,False
100,0.0,7,2543.85,21.0,24.0,False
100,0.0,7,2535.17,28.0,24.0,False
100,0.0,7,2698.86,33.0,22.0,False
100,0.0,7,2691.41,24.0,23.0,False
100,0.0,7,2538.62,26.0,22.0,False
100,0.0,7,2739.25,20.0,24.0,False
100,0.0,7,2762.27,14.0,33.0,False
100,0.0,7,2693.92,26.0,19.0,False
100,0.0,7,2657.19,26.0,28.0,False
100,0.0,7,2543.85,21.0,24.0,False
100,0.0,7,2535.17,28.0,24.0,False
100,0.0,7,2698.86,33.0,22.0,False
100,0.0,7,2691.41,24.0,23.0,False
100,0.0,7,2538.62,26.0,22.0,False
100,0.0,7,2739.25,20.0,24.0,False
100,0.0,7,2762.27,14.0,33.0,False
100,0.0,7,2693.92,26.0,19.0,False
100,0.0,7,2657.19,26.0,28.0,False
100,0.0,7,2543.85,21.0,24.0,False
100,0.0,7,2535.17,28.0,24.0,False
100,0.0,7,2698.86,33.0,22.0,False
100,0.0,7,2691.41,24.0,23.0,False
100,0.0,7,2538.62,26.0,22.0,False
100,0.0,7,2739.25,20.0,24.0,False
100,0.0,7,2762.27,14.0,33.0,False
100,0.0,7,2693.92,26.0,19.0,False
100,0.0,7,2657.19,26.0,28.0,False
100,0.0,7,2543.85,21.0,24.0,False
100,0.0,7,2535.17,28.0,24.0,False
100,0.0,7,2698.86,33.0,22.0,False
100,0.0,7,2691.41,24.0,23.0,False
100,0.0,7,2538.62,26.0,22.0,False
100,0.0,7,2739.25,20.0,24.0,False
100,0.0,7,2762.27,14.0,33.0,False
100,0.0,7,2693.92,26.0,19.0,False
100,0.0,7,2657.19,26.0,28.0,False
100,0.0,7,2543.85,21.0,24.0,False
100,0.0,7,2535.17,28.0,24.0,False
100,0.0,7,2698.86,33.0,22.0,False
100,0.0,7,2691.41,24.0,23.0,False
100,0.0,7,2538.62,26.0,22.0,False
100,0.0,7,2739.25,20.0,24.0,False
100,0.0,7,2762.27,14.0,33.0,False
100,0.0,7,2693.92,26.0,19.0,False
100,0.0,7,2657.19,26.0,28.0,False
100,0.0,7,2543.85,21.0,24.0,False
100,0.0,7,2535.17,28.0,24.0,False
100,0.0,7,2698.86,33.0,22.0,False
100,0.0,7,2691.41,24.0,23.0,False
100,0.0,7,2538.62,26.0,22.0,False
100,0.0,7,2739.25,20.0,24.0,False
100,0.0,7,2762.27,14.0,33.0,False
100,0.0,7,2693.92,26.0,19.0,False
100,0.0,7,2657.19,26.0,28.0,False
100,0.0,7,2543.85,21.0,24.0,False
100,0.0,7,2535.17,28.0,24.0,False
100,0.0,7,2698.86,33.0,22.0,False
100,0.0,7,2691.41,24.0,23.0,False
100,0.0,7,2538.62,26.0,22.0,False
4,0.0,3,2634.75,0.0,3.0,False
1,0.0,1,2425.0,0.0,1.0,False
3,0.0,3,2658.0,0.0,1.0,False
3,0.0,3,2447.6666666666665,3.0,0.0,False
3,0.0,3,3457.333333333333,1.0,1.0,False
1,0.0,1,4404.0,0.0,1.0,False
4,0.0,3,2395.0,1.0,2.0,False
1,0.0,1,4995.0,0.0,0.0,False
4,0.0,3,2634.75,0.0,3.0,False
1,0.0,1,2425.0,0.0,1.0,False
3,0.0,3,2658.0,0.0,1.0,False
3,0.0,3,2447.6666666666665,3.0,0.0,False
3,0.0,3,3457.333333333333,1.0,1.0,False
1,0.0,1,4404.0,0.0,1.0,False
1,0.0,1,4810.0,1.0,0.0,False
4,0.0,3,2395.0,1.0,2.0,False
1,0.0,1,4995.0,0.0,0.0,False
4,0.0,3,2634.75,0.0,3.0,False
1,0.0,1,2425.0,0.0,1.0,False
3,0.0,3,2658.0,0.0,1.0,False
3,0.0,3,2447.6666666666665,3.0,0.0,False
3,0.0,3,3457.333333333333,1.0,1.0,False
1,0.0,1,4404.0,0.0,1.0,False
4,0.0,3,2395.0,1.0,2.0,False
1,0.0,1,4995.0,0.0,0.0,False
4,0.0,3,2634.75,0.0,3.0,False
1,0.0,1,2425.0,0.0,1.0,False
3,0.0,3,2658.0,0.0,1.0,False
3,0.0,3,2447.6666666666665,3.0,0.0,False
3,0.0,3,3457.333333333333,1.0,1.0,False
1,0.0,1,4404.0,0.0,1.0,False
4,0.0,3,2395.0,1.0,2.0,False
1,0.0,1,4995.0,0.0,0.0,False
4,0.0,3,2634.75,0.0,3.0,False
1,0.0,1,2425.0,0.0,1.0,False
3,0.0,3,2658.0,0.0,1.0,False
3,0.0,3,2447.6666666666665,3.0,0.0,False
3,0.0,3,3457.333333333333,1.0,1.0,False
1,0.0,1,4404.0,0.0,1.0,False
4,0.0,3,2395.0,1.0,2.0,False
1,0.0,1,4995.0,0.0,0.0,False
100,0.0,7,2739.25,20.0,24.0,False
100,0.0,7,2762.27,14.0,33.0,False
100,0.0,7,2693.92,26.0,19.0,False
100,0.0,7,2657.19,26.0,28.0,False
100,0.0,7,2543.85,21.0,24.0,False
100,0.0,7,2535.17,28.0,24.0,False
100,0.0,7,2698.86,33.0,22.0,False
100,0.0,7,2691.41,24.0,23.0,False
100,0.0,7,2538.62,26.0,22.0,False
10,0.0,7,2637.9,2.0,0.0,False
1,0.0,1,1009.0,0.0,1.0,False
1,0.0,1,2029.0,0.0,0.0,False
2,0.0,2,3478.0,0.0,1.0,False
1,0.0,1,3705.0,0.0,0.0,False
1,0.0,1,223.0,0.0,0.0,False
2,0.0,2,2396.0,1.0,1.0,False
